------------------------------------------------------------------------------------
Date: 5/15/2020 -- 20:42:09 (uptime: 0d, 00h 00m 27s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 182
decoder.pkts                                  | Total                     | 207
decoder.bytes                                 | Total                     | 76211
decoder.ipv4                                  | Total                     | 197
decoder.ethernet                              | Total                     | 207
decoder.tcp                                   | Total                     | 175
decoder.udp                                   | Total                     | 22
decoder.avg_pkt_size                          | Total                     | 368
decoder.max_pkt_size                          | Total                     | 1454
flow.tcp                                      | Total                     | 8
flow.udp                                      | Total                     | 10
tcp.sessions                                  | Total                     | 5
tcp.syn                                       | Total                     | 5
tcp.synack                                    | Total                     | 5
tcp.rst                                       | Total                     | 5
app_layer.flow.tls                            | Total                     | 5
app_layer.flow.dns_udp                        | Total                     | 10
app_layer.tx.dns_udp                          | Total                     | 22
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 8
flow_mgr.flows_notimeout                      | Total                     | 8
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65528
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 1505324
flow.memuse                                   | Total                     | 7482176
------------------------------------------------------------------------------------
Date: 5/15/2020 -- 20:42:17 (uptime: 0d, 00h 00m 35s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1264
decoder.pkts                                  | Total                     | 1281
decoder.bytes                                 | Total                     | 822606
decoder.ipv4                                  | Total                     | 1244
decoder.ipv6                                  | Total                     | 4
decoder.ethernet                              | Total                     | 1281
decoder.tcp                                   | Total                     | 1183
decoder.udp                                   | Total                     | 59
decoder.icmpv6                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 642
decoder.max_pkt_size                          | Total                     | 1454
flow.tcp                                      | Total                     | 19
flow.udp                                      | Total                     | 20
flow.icmpv6                                   | Total                     | 3
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 2
tcp.sessions                                  | Total                     | 11
tcp.syn                                       | Total                     | 12
tcp.synack                                    | Total                     | 10
tcp.rst                                       | Total                     | 7
app_layer.flow.tls                            | Total                     | 8
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 18
app_layer.tx.dns_udp                          | Total                     | 40
app_layer.flow.failed_udp                     | Total                     | 1
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 3
flow_mgr.flows_notimeout                      | Total                     | 3
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65533
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 1548332
flow.memuse                                   | Total                     | 7490048
------------------------------------------------------------------------------------
Date: 5/15/2020 -- 20:42:25 (uptime: 0d, 00h 00m 43s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 3475
decoder.pkts                                  | Total                     | 3503
decoder.bytes                                 | Total                     | 2359040
decoder.ipv4                                  | Total                     | 3454
decoder.ipv6                                  | Total                     | 5
decoder.ethernet                              | Total                     | 3503
decoder.tcp                                   | Total                     | 3325
decoder.udp                                   | Total                     | 127
decoder.icmpv6                                | Total                     | 5
decoder.avg_pkt_size                          | Total                     | 673
decoder.max_pkt_size                          | Total                     | 1454
flow.tcp                                      | Total                     | 32
flow.udp                                      | Total                     | 54
flow.icmpv6                                   | Total                     | 3
decoder.event.ipv4.opt_pad_required           | Total                     | 2
decoder.event.ipv6.zero_len_padn              | Total                     | 2
tcp.sessions                                  | Total                     | 24
tcp.syn                                       | Total                     | 27
tcp.synack                                    | Total                     | 23
tcp.rst                                       | Total                     | 22
tcp.stream_depth_reached                      | Total                     | 1
app_layer.flow.tls                            | Total                     | 21
app_layer.flow.dhcp                           | Total                     | 1
app_layer.tx.dhcp                             | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 52
app_layer.tx.dns_udp                          | Total                     | 108
app_layer.flow.failed_udp                     | Total                     | 1
flow.spare                                    | Total                     | 10000
flow_mgr.flows_checked                        | Total                     | 13
flow_mgr.flows_notimeout                      | Total                     | 13
flow_mgr.rows_checked                         | Total                     | 65536
flow_mgr.rows_skipped                         | Total                     | 65523
flow_mgr.rows_maxlen                          | Total                     | 1
tcp.memuse                                    | Total                     | 4587520
tcp.reassembly_memuse                         | Total                     | 2445356
flow.memuse                                   | Total                     | 7511696
------------------------------------------------------------------------------------
Date: 5/15/2020 -- 20:42:33 (uptime: 0d, 00h 00m 51s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 4988
